name,city,sector
Cofle Tk Otomotiv Kontrol Sistemleri San. ve Tic. A.Ş.,İstanbul,Otomotiv Yan Sanayi
Yıltem Konfeksiyon San. ve Tic. A.Ş.,İstanbul,Tekstil
Boğaziçi Hediyelik Eşya ve El Sanatları San. ve Tic. A.Ş.,İstanbul,Kuyumculuk
Tms Endüstriyel Soğutma Sanayi Ticaret Anonim Şirketi,İstanbul,İklimlendirme
Festo Sanayi ve Ticaret A.Ş.,İstanbul,Makine ve Teçhizat İmalatı
Valeo Otomotiv Sanayi ve Ticaret A.Ş.,Bursa,Otomotiv Yan Sanayi
Urbanista Avcı Gayrimenkul Mimarlık Danışmanlık Limited Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Ds Mimarlık Restorasyon Peyzaj Mimarlığı San. Tic. Ltd. Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Askon Demir Çelik San. ve Tic. A.Ş.,Denizli,Demir ve Demir Dışı Metaller
Canlar Mekatronik Sanayi ve Ticaret Anonim Şirketi,Tekirdağ,Makine ve Teçhizat İmalatı
Gri Kreatif ve Dijital Teknolojiler A.Ş.,İstanbul,Medya ve İletişim
Odak Kompozit Teknolojileri A.Ş.,Ankara,İmalat Sanayi
Yektamak Makina Mühendislik İmalat San. ve Tic. A.Ş.,Sakarya,Makine ve Teçhizat İmalatı
Aygersan Aydınlatma Gereçleri Sanayi ve Ticaret A.Ş.,Ankara,Otomotiv Yan Sanayi
Erciyas Çelik Boru San. A.Ş.,Düzce,İmalat Sanayi
İSF Film Prodüksiyon Reklam Yayıncılık İnşaat Taahhüt Sanayi ve Ticaret Limited Şirketi,Ankara,Medya ve İletişim
Gökhan Aksoy Mimarlık Müh Müş İnş Taah Tic Ltd. Şti.,Ankara,Mühendislik/Mimarlık Faaliyetleri
Orbit Mühendislik ve Makina San. Ltd. Şti.,Ankara,Gıda Sanayi
Timsan Taahhüt İmalat Montaj San. ve Tic. A.Ş.,İstanbul,Havacılık
Mf Turistik Tesisleri İşletmeciliği ve Tasarım Dekorasyon Ticaret A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Nurdil Teknik Soğutma Ticaret A.Ş.,Ankara,İklimlendirme
Labris Maden ve Makina Sanayi A.Ş.,Ankara,Madencilik
Technopc Teknoloji San. ve Tic. A.Ş.,İstanbul,Bilgisayar ve İletişim Teknolojileri
Zf Sachs Süspansiyon Sistemleri Sanayi ve Ticaret A.Ş.,Kocaeli,Otomotiv Yan Sanayi
Muse Görsel Sanatlar Anonim Şirketi,İstanbul,Medya ve İletişim
Kilim Mobilya A.Ş.,Kayseri,Mobilya
Deha Tech Makina San ve Tic A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Fibrobeton Yapı Elemanları San. İnş. ve Tic. A.Ş.,İstanbul,İnşaat
Br Mağazacılık Ticaret Anonim Şirketi,İzmir,Tekstil
Em Elektrik Malzemeleri Yüklenim Sanayi Ticaret A.Ş.,İstanbul,İmalat Sanayi
Tls Teknoloji Sistemleri San ve Dış Tic. A.Ş.,İstanbul,Elektronik
Akın Tekstil A.Ş.,Kırklareli,Tekstil
Penti Giyim Ticaret Anonim Şirketi,İstanbul,Tekstil
Devanlay - Eren Tekstil Sanayi Anonim Şirketi,Tekirdağ,Tekstil
Nsk Otomotiv Sanayi Tic. A.Ş.,Bursa,Otomotiv Yan Sanayi
Mitaş Endüstri Sanayi Ticaret Anonim Şirketi - Poligon,Ankara,İmalat Sanayi
Masomo Oyun Teknolojileri Anonim Şirketi,İzmir,Yazılım
Almodo Altunlar Tekstil Sanayi ve Ticaret A.Ş.,Tekirdağ,Tekstil
Kumkaya Makina Gıda Tekstil İnşaat San. ve Tic. Ltd. Şti.,İstanbul,Makine ve Teçhizat İmalatı
Hascevher Metal Sanayi ve Ticaret Anonim Şirketi,Kahramanmaraş,Demir ve Demir Dışı Metaller
Dirinler Döküm Sanayi ve Ticaret Anonim Şirketi,İzmir,Dökümcülük
Timur Gayrimenkul Geliştirme Yapı ve Yatırım A.Ş.,İstanbul,İnşaat
Link Yapı Sanayi ve Ticaret Anonim Şirketi,Kocaeli,İmalat Sanayi
Mimsan Endüstri Kazanları Sanayi ve Ticaret Anonim Şirketi,Malatya,Makine ve Teçhizat İmalatı
Tayeks Dış Ticaret ve Tekstil Sanayi A.Ş.,İstanbul,Tekstil
Altınyıldız Tekstil ve Konfeksiyon A.Ş.,Tekirdağ,Tekstil
Doğanlar Mobilya Grubu İmalat Sanayi ve Ticaret Anonim Şirketi - Düzce,Düzce,Mobilya
Hasan Sözüneri Mimarlık Mühendislik Müş. Kont. İnş. San. ve Tic. Ltd. Şti,Bursa,Mühendislik/Mimarlık Faaliyetleri
Eaa Emre Arolat Mimarlık Mühendislik ve Danışmanlık Limited Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Yataş Yatak ve Yorgan Sanayi Ticaret A.Ş.,İstanbul,Mobilya
Gürmen Giyim Sanayi ve Ticaret A.Ş. Safranbolu,Karabük,Tekstil
İpekiş Mensucat Türk A.Ş.,Bursa,Tekstil
Ata Silah San. A.Ş.,İstanbul,Savunma Sanayi
Ykk Metal ve Plastik Ürünleri Sanayi Ticaret Anonim Şirketi Teknik Çözümler Şubesi,İstanbul,Makine ve Teçhizat İmalatı
Erdemir Mühendislik Yönetim ve Danışmanlık Hizmetleri Anonim Şirketi İskenderun,Hatay,Mühendislik/Mimarlık Faaliyetleri
Erdemir Mühendislik Yönetim ve Danışmanlık Hizmetleri Anonim Şirketi Ereğli,Zonguldak,Mühendislik/Mimarlık Faaliyetleri
S2 Otomasyon Sanayi ve Ticaret A.Ş.,İzmir,Makine ve Teçhizat İmalatı
Simetrik Dizayn Sanayi ve Ticaret Anonim Şirketi,Bursa,Makine ve Teçhizat İmalatı
Sanver Mühendislik Elektrik Elektronik Bilgisayar Sistemleri Makina Sanayi ve Ticaret Limited Şirketi,Bursa,Makine ve Teçhizat İmalatı
Bony Tekstil İşletmeleri San ve Tic A.Ş.,Tekirdağ,Konfeksiyon ve Hazır Giyim
Skyart Havacılık San. Tic. A.Ş.,İstanbul,Havacılık
4a Elektrik Elektronik Teknoloji San. A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Aydın Yazılım ve Elektronik Sanayi A.Ş.,Ankara,Savunma Sanayi
Tepta Aydınlatma San. ve Tic. Anonim Şti.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Cdmtech Mühendislik Hizmetleri A.Ş.,Ankara,Otomotiv Tasarımı ve Mühendislik
Bora Çelik Eşya ve Mobilya İnşaat Malzemeleri Sanayi Tic. Ltd. Şti.,Eskişehir,Demir ve Demir Dışı Metaller
Ism Makine Elektrik Sanayi ve Ticaret Anonim Şirketi,Manisa,Dayanıklı Tüketim Malları
Frenoks Endüstriyel Soğutma Sanayi ve Ticaret A.Ş.,İstanbul,İklimlendirme
Kontrolmatik Teknoloji Enerji ve Mühendislik A.Ş.,İstanbul,İmalat Sanayi
Kaplam Otomotiv Plastik Sanayi ve Ticaret A.Ş.,Bursa,Otomotiv
Yeşim Kozanlı İç Mimarlık A.Ş.,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Albayrak Branda Tente Sanayi ve Ticaret Anonim Şirketi,İstanbul,İmalat Sanayi
Ykc Plastik Ambalaj ve Kapak Sanayi Ticaret A.Ş.,Ankara,Lastik-Plastik-Kauçuk
Aslı Mimarlık Sanayi ve Ticaret Limited Şirketi,İstanbul,Mühendislik/Mimarlık Faaliyetleri
Formplast Yalıtım Ürünleri İnş. San. ve Tic. A.Ş.,Bilecik,Makine ve Teçhizat İmalatı
Epsilon Solentek Raylı Sistemler Anonim Şirketi (Eskişehir Şb.),Eskişehir,İmalat Sanayi
Ay Sanat Prodüksiyon ve Yapım Anonim Şirketi,İstanbul,Medya ve İletişim
Secant Savunma ve Havacılık A.Ş.,Eskişehir,Savunma Sanayi
Flo Mağazacılık ve Pazarlama A.Ş.,İstanbul,Tekstil
Med Marine Kılavuzluk ve Römorkör Hizmetleri İnşaat Sanayi ve Ticaret Anonim Şirketi,İstanbul,Denizcilik
Bosch Rexroth Otomasyon Sanayi ve Ticaret A.Ş.,Bursa,Makine ve Teçhizat İmalatı
Mondi Mobilya Sanayi ve Ticaret Anonim Şirketi,Kayseri,Mobilya
Türkiye Elektromekanik Sanayi A.Ş,Ankara,Enerji
A Raymond Bağlantı Elemanları Sanayi ve Ticaret Ltd. Şti.,Kocaeli,Otomotiv
Aselsan Sivas Hassas Optik Sanayi ve Ticaret Anonim Şirketi (Ankara Yerleşkesi),Ankara,Savunma Sanayi
JMW Jant Sanayi ve Ticaret Anonim Şirketi,Aydın,Otomotiv Yan Sanayi
Proton Otomasyon Elektrik Makina İnşaat Taahhüt Sanayi ve Ticaret Limited Şirketi,Denizli,Makine ve Teçhizat İmalatı
On Tasarım Kentsel Tasarım Peyzaj Mimarlığı Mimarlık Mühendislik İnşaat Turizm Ticaret Limited Şirketi,Ankara,Mühendislik/Mimarlık Faaliyetleri
MİB Mağazacılık Ticaret Anonim Şirketi,İstanbul,Perakendecilik
DeFacto Perakende Ticaret Anonim Şirketi,İstanbul,Perakendecilik
Iottech Bilişim Danışmanlık Limited Şirketi,İstanbul,Yazılım
SMS Sanayi Malzemeleri Üretim ve Satışı Anonim Şirketi,Kocaeli,Makine ve Teçhizat İmalatı
